French,English
histoire,history
pensais,thought
demande,request
mois,month
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
heures,hours
vont,will
pendant,while
aucune,any
compris,understood
savais,knew
étaient,were
voici,here is
type,type
yeux,eyes
façon,way
dont,whose
perdu,lost
côté,side
sois,be
tiens,here
tellement,so much
enfant,child
venu,came
suite,after
venez,come
minutes,minutes
mis,placed
belle,beautiful
eau,water
attendez,Wait
boulot,job
arrêter,Stop
compte,account
fin,end
croire,believe
gros,large
aura,will have
filles,girls
